dark eclipse moon
69. D:\Corpus\Skylab.txt score=0.016861629
70. D:\Corpus\Moon_rabbit.txt score=0.016534474
71. D:\Corpus\Cyprus.txt score=0.016105354
72. D:\Corpus\FR_Yugoslavia.txt score=0.016082495
73. D:\Corpus\English_Channel.txt score=0.015917543
74. D:\Corpus\Equator.txt score=0.015917543
75. D:\Corpus\Lunar_sample_displays.txt score=0.01558885
76. D:\Corpus\Solar_eclipse_of_June_8,_1918.txt score=0.01558885
77. D:\Corpus\Solar_power.txt score=0.014614548
78. D:\Corpus\Compact_Disc.txt score=0.014319274
79. D:\Corpus\Space_weather.txt score=0.014307566
80. D:\Corpus\Solar_eclipses_in_fiction.txt score=0.013778727
81. D:\Corpus\Space_probe.txt score=0.013778727
82. D:\Corpus\Bay_of_Bengal.txt score=0.013640244
83. D:\Corpus\Origin_of_the_Moon.txt score=0.013264618
84. D:\Corpus\Selenography.txt score=0.013264618
85. D:\Corpus\Luxembourg.txt score=0.011922972
86. D:\Corpus\Lunar_water.txt score=0.011812798
87. D:\Corpus\Week.txt score=0.011812798
88. D:\Corpus\Apollo_11_lunar_sample_display.txt score=0.011691637
89. D:\Corpus\Apollo_17_lunar_sample_display.txt score=0.011691637
90. D:\Corpus\Banknote.txt score=0.011487497
91. D:\Corpus\The_Times.txt score=0.011255401
92. D:\Corpus\Civil_twilight.txt score=0.010611694
93. D:\Corpus\Libertad_Lamarque.txt score=0.010611694
94. D:\Corpus\The_Lizard.txt score=0.010611694
95. D:\Corpus\Croatia.txt score=0.010381206
96. D:\Corpus\Coronal_loop.txt score=0.009743031
97. D:\Corpus\Coronal_loops.txt score=0.009743031
98. D:\Corpus\Pareidolia.txt score=0.009743031
99. D:\Corpus\X-ray_telescope.txt score=0.009743031
100. D:\Corpus\Solar_observation.txt score=0.009645109

===========================================================

japan continental airlines
==============================
1. D:\Corpus\Solar_eclipse_of_July_22,_2009.txt score=0.20294857
2. D:\Corpus\Heathrow_Airport.txt score=0.17733006
